speed_current_kmh,speed_avg_5min_kmh,distance_remaining_km,stops_remaining,hour_of_day,day_of_week,is_peak_hour,traffic_delay_minutes,trip_progress_pct,route_total_km,actual_eta_minutes,route_id,congestion_factor
26.23,22.77,8.075,6,6,2,0,2.72,5.0,8.5,23.24,R1,1.267
23.65,22.77,7.043,5,6,2,0,2.37,17.1,8.5,21.28,R1,1.267
23.68,22.77,6.011,5,6,2,0,2.02,29.3,8.5,16.74,R1,1.267
17.55,22.77,4.979,4,6,2,0,1.68,41.4,8.5,13.16,R1,1.267
27.84,22.77,3.946,3,6,2,0,1.33,53.6,8.5,13.1,R1,1.267
24.11,22.77,2.914,3,6,2,0,0.98,65.7,8.5,7.15,R1,1.267
23.28,22.77,1.882,2,6,2,0,0.63,77.9,8.5,4.79,R1,1.267
23.5,22.77,0.85,1,6,2,0,0.29,90.0,8.5,0.5,R1,1.267
26.73,26.31,6.65,5,6,4,0,3.6,5.0,7.0,17.92,R5,1.434
24.73,26.31,5.8,5,6,4,0,3.14,17.1,7.0,16.66,R5,1.434
31.16,26.31,4.95,4,6,4,0,2.68,29.3,7.0,13.62,R5,1.434
22.43,26.31,4.1,3,6,4,0,2.22,41.4,7.0,11.88,R5,1.434
21.94,26.31,3.25,3,6,4,0,1.76,53.6,7.0,11.04,R5,1.434
19.72,26.31,2.4,2,6,4,0,1.3,65.7,7.0,7.51,R5,1.434
26.19,26.31,1.55,2,6,4,0,0.84,77.9,7.0,3.12,R5,1.434
26.12,26.31,0.7,1,6,4,0,0.38,90.0,7.0,3.55,R5,1.434
12.19,15.12,11.4,9,16,4,1,21.48,5.0,12.0,43.81,R2,1.918
12.84,15.12,9.943,8,16,4,1,18.73,17.1,12.0,39.55,R2,1.918
17.98,15.12,8.486,7,16,4,1,15.99,29.3,12.0,35.2,R2,1.918
18.91,15.12,7.029,6,16,4,1,13.24,41.4,12.0,30.84,R2,1.918
15.61,15.12,5.571,5,16,4,1,10.5,53.6,12.0,24.6,R2,1.918
11.71,15.12,4.114,4,16,4,1,7.75,65.7,12.0,16.56,R2,1.918
15.7,15.12,2.657,2,16,4,1,5.01,77.9,12.0,12.05,R2,1.918
19.77,15.12,1.2,1,16,4,1,2.26,90.0,12.0,4.06,R2,1.918
17.56,21.76,14.25,11,15,2,1,15.47,5.0,15.0,51.75,R4,1.644
24.11,21.76,12.429,10,15,2,1,13.49,17.1,15.0,45.27,R4,1.644
24.19,21.76,10.607,8,15,2,1,11.52,29.3,15.0,37.62,R4,1.644
21.96,21.76,8.786,7,15,2,1,9.54,41.4,15.0,27.31,R4,1.644
18.6,21.76,6.964,6,15,2,1,7.56,53.6,15.0,24.89,R4,1.644
13.53,21.76,5.143,4,15,2,1,5.58,65.7,15.0,17.87,R4,1.644
20.56,21.76,3.321,3,15,2,1,3.61,77.9,15.0,11.31,R4,1.644
17.94,21.76,1.5,2,15,2,1,1.63,90.0,15.0,7.88,R4,1.644
34.72,29.84,11.4,9,12,2,0,0.99,5.0,12.0,27.41,R2,1.04
33.99,29.84,9.943,8,12,2,0,0.86,17.1,12.0,26.59,R2,1.04
37.33,29.84,8.486,7,12,2,0,0.74,29.3,12.0,22.14,R2,1.04
32.29,29.84,7.029,6,12,2,0,0.61,41.4,12.0,18.43,R2,1.04
32.45,29.84,5.571,5,12,2,0,0.48,53.6,12.0,15.98,R2,1.04
37.04,29.84,4.114,4,12,2,0,0.36,65.7,12.0,10.95,R2,1.04
25.25,29.84,2.657,2,12,2,0,0.23,77.9,12.0,6.2,R2,1.04
32.03,29.84,1.2,1,12,2,0,0.1,90.0,12.0,3.43,R2,1.04
34.4,38.37,8.075,6,11,3,0,0.2,5.0,8.5,22.63,R1,1.016
33.65,38.37,7.043,5,11,3,0,0.17,17.1,8.5,17.32,R1,1.016
33.79,38.37,6.011,5,11,3,0,0.15,29.3,8.5,12.26,R1,1.016
41.26,38.37,4.979,4,11,3,0,0.12,41.4,8.5,12.81,R1,1.016
34.78,38.37,3.946,3,11,3,0,0.1,53.6,8.5,9.15,R1,1.016
30.37,38.37,2.914,3,11,3,0,0.07,65.7,8.5,7.59,R1,1.016
36.13,38.37,1.882,2,11,3,0,0.05,77.9,8.5,6.66,R1,1.016
31.15,38.37,0.85,1,11,3,0,0.02,90.0,8.5,3.75,R1,1.016
21.76,23.49,5.225,4,15,4,1,4.82,5.0,5.5,22.27,R3,1.713
28.36,23.49,4.557,4,15,4,1,4.2,17.1,5.5,19.6,R3,1.713
23.26,23.49,3.889,3,15,4,1,3.59,29.3,5.5,16.13,R3,1.713
25.18,23.49,3.221,3,15,4,1,2.97,41.4,5.5,12.31,R3,1.713
24.85,23.49,2.554,2,15,4,1,2.36,53.6,5.5,7.65,R3,1.713
25.1,23.49,1.886,2,15,4,1,1.74,65.7,5.5,6.15,R3,1.713
22.07,23.49,1.218,1,15,4,1,1.12,77.9,5.5,4.44,R3,1.713
22.17,23.49,0.55,1,15,4,1,0.51,90.0,5.5,1.39,R3,1.713
32.5,34.98,11.4,9,10,0,0,2.73,5.0,12.0,28.49,R2,1.135
34.29,34.98,9.943,8,10,0,0,2.38,17.1,12.0,27.92,R2,1.135
27.98,34.98,8.486,7,10,0,0,2.03,29.3,12.0,21.64,R2,1.135
32.83,34.98,7.029,6,10,0,0,1.68,41.4,12.0,20.71,R2,1.135
32.98,34.98,5.571,5,10,0,0,1.33,53.6,12.0,16.15,R2,1.135
32.64,34.98,4.114,4,10,0,0,0.99,65.7,12.0,11.12,R2,1.135
29.8,34.98,2.657,2,10,0,0,0.64,77.9,12.0,7.76,R2,1.135
33.37,34.98,1.2,1,10,0,0,0.29,90.0,12.0,6.55,R2,1.135
21.66,17.82,8.075,6,16,2,1,11.87,5.0,8.5,31.64,R1,1.958
20.62,17.82,7.043,5,16,2,1,10.35,17.1,8.5,30.52,R1,1.958
16.74,17.82,6.011,5,16,2,1,8.83,29.3,8.5,26.57,R1,1.958
15.24,17.82,4.979,4,16,2,1,7.32,41.4,8.5,20.74,R1,1.958
21.98,17.82,3.946,3,16,2,1,5.8,53.6,8.5,14.52,R1,1.958
22.97,17.82,2.914,3,16,2,1,4.28,65.7,8.5,11.85,R1,1.958
27.55,17.82,1.882,2,16,2,1,2.77,77.9,8.5,8.67,R1,1.958
15.13,17.82,0.85,1,16,2,1,1.25,90.0,8.5,3.88,R1,1.958
25.31,22.3,5.225,4,9,2,0,2.96,5.0,5.5,16.61,R3,1.462
26.01,22.3,4.557,4,9,2,0,2.58,17.1,5.5,16.21,R3,1.462
23.65,22.3,3.889,3,9,2,0,2.2,29.3,5.5,14.34,R3,1.462
19.32,22.3,3.221,3,9,2,0,1.82,41.4,5.5,10.69,R3,1.462
26.44,22.3,2.554,2,9,2,0,1.45,53.6,5.5,8.13,R3,1.462
20.13,22.3,1.886,2,9,2,0,1.07,65.7,5.5,7.45,R3,1.462
25.02,22.3,1.218,1,9,2,0,0.69,77.9,5.5,4.5,R3,1.462
24.33,22.3,0.55,1,9,2,0,0.31,90.0,5.5,1.24,R3,1.462
19.36,23.85,8.075,6,17,1,0,11.44,5.0,8.5,29.78,R1,1.739
24.96,23.85,7.043,5,17,1,0,9.98,17.1,8.5,27.64,R1,1.739
23.15,23.85,6.011,5,17,1,0,8.52,29.3,8.5,21.58,R1,1.739
22.31,23.85,4.979,4,17,1,0,7.05,41.4,8.5,18.53,R1,1.739
26.55,23.85,3.946,3,17,1,0,5.59,53.6,8.5,15.62,R1,1.739
26.23,23.85,2.914,3,17,1,0,4.13,65.7,8.5,11.25,R1,1.739
22.94,23.85,1.882,2,17,1,0,2.67,77.9,8.5,8.98,R1,1.739
18.78,23.85,0.85,1,17,1,0,1.2,90.0,8.5,3.7,R1,1.739
11.77,17.78,5.225,4,17,4,0,4.64,5.0,5.5,23.03,R3,1.718
12.53,17.78,4.557,4,17,4,0,4.05,17.1,5.5,18.62,R3,1.718
20.64,17.78,3.889,3,17,4,0,3.45,29.3,5.5,14.18,R3,1.718
14.14,17.78,3.221,3,17,4,0,2.86,41.4,5.5,13.02,R3,1.718
19.41,17.78,2.554,2,17,4,0,2.27,53.6,5.5,8.66,R3,1.718
18.02,17.78,1.886,2,17,4,0,1.68,65.7,5.5,6.68,R3,1.718
15.41,17.78,1.218,1,17,4,0,1.08,77.9,5.5,5.04,R3,1.718
19.27,17.78,0.55,1,17,4,0,0.49,90.0,5.5,6.22,R3,1.718
18.39,18.68,8.075,6,7,0,1,12.66,5.0,8.5,30.43,R1,1.777
17.41,18.68,7.043,5,7,0,1,11.04,17.1,8.5,22.77,R1,1.777
18.73,18.68,6.011,5,7,0,1,9.42,29.3,8.5,24.62,R1,1.777
20.68,18.68,4.979,4,7,0,1,7.8,41.4,8.5,17.67,R1,1.777
22.56,18.68,3.946,3,7,0,1,6.19,53.6,8.5,11.67,R1,1.777
20.86,18.68,2.914,3,7,0,1,4.57,65.7,8.5,12.84,R1,1.777
15.75,18.68,1.882,2,7,0,1,2.95,77.9,8.5,9.49,R1,1.777
17.54,18.68,0.85,1,7,0,1,1.33,90.0,8.5,6.07,R1,1.777
30.02,23.66,6.65,5,13,2,0,1.38,5.0,7.0,19.12,R5,1.157
27.52,23.66,5.8,5,13,2,0,1.2,17.1,7.0,15.38,R5,1.157
24.62,23.66,4.95,4,13,2,0,1.02,29.3,7.0,9.5,R5,1.157
23.95,23.66,4.1,3,13,2,0,0.85,41.4,7.0,11.12,R5,1.157
23.41,23.66,3.25,3,13,2,0,0.67,53.6,7.0,12.26,R5,1.157
28.09,23.66,2.4,2,13,2,0,0.5,65.7,7.0,6.45,R5,1.157
23.39,23.66,1.55,2,13,2,0,0.32,77.9,7.0,7.59,R5,1.157
27.73,23.66,0.7,1,13,2,0,0.14,90.0,7.0,4.57,R5,1.157
13.86,20.05,14.25,11,7,2,1,23.28,5.0,15.0,54.44,R4,1.754
17.7,20.05,12.429,10,7,2,1,20.31,17.1,15.0,50.16,R4,1.754
21.61,20.05,10.607,8,7,2,1,17.33,29.3,15.0,43.89,R4,1.754
20.87,20.05,8.786,7,7,2,1,14.35,41.4,15.0,34.27,R4,1.754
18.09,20.05,6.964,6,7,2,1,11.38,53.6,15.0,27.46,R4,1.754
22.2,20.05,5.143,4,7,2,1,8.4,65.7,15.0,20.41,R4,1.754
17.68,20.05,3.321,3,7,2,1,5.43,77.9,15.0,12.81,R4,1.754
22.41,20.05,1.5,2,7,2,1,2.45,90.0,15.0,6.54,R4,1.754
21.56,24.88,14.25,11,15,1,1,20.81,5.0,15.0,50.43,R4,1.721
25.08,24.88,12.429,10,15,1,1,18.15,17.1,15.0,46.78,R4,1.721
23.6,24.88,10.607,8,15,1,1,15.49,29.3,15.0,38.21,R4,1.721
21.47,24.88,8.786,7,15,1,1,12.83,41.4,15.0,34.2,R4,1.721
22.64,24.88,6.964,6,15,1,1,10.17,53.6,15.0,26.43,R4,1.721
26.54,24.88,5.143,4,15,1,1,7.51,65.7,15.0,17.94,R4,1.721
25.69,24.88,3.321,3,15,1,1,4.85,77.9,15.0,13.52,R4,1.721
23.31,24.88,1.5,2,15,1,1,2.19,90.0,15.0,8.22,R4,1.721
21.4,18.95,14.25,11,15,0,1,16.47,5.0,15.0,50.41,R4,1.542
27.95,18.95,12.429,10,15,0,1,14.37,17.1,15.0,42.49,R4,1.542
16.84,18.95,10.607,8,15,0,1,12.26,29.3,15.0,38.16,R4,1.542
25.83,18.95,8.786,7,15,0,1,10.16,41.4,15.0,30.09,R4,1.542
24.53,18.95,6.964,6,15,0,1,8.05,53.6,15.0,23.1,R4,1.542
20.12,18.95,5.143,4,15,0,1,5.95,65.7,15.0,19.23,R4,1.542
15.94,18.95,3.321,3,15,0,1,3.84,77.9,15.0,11.99,R4,1.542
21.29,18.95,1.5,2,15,0,1,1.73,90.0,15.0,8.34,R4,1.542
23.87,20.66,8.075,6,15,4,1,10.01,5.0,8.5,27.31,R1,1.625
21.62,20.66,7.043,5,15,4,1,8.73,17.1,8.5,24.74,R1,1.625
23.84,20.66,6.011,5,15,4,1,7.45,29.3,8.5,20.79,R1,1.625
18.92,20.66,4.979,4,15,4,1,6.17,41.4,8.5,15.67,R1,1.625
22.5,20.66,3.946,3,15,4,1,4.89,53.6,8.5,12.57,R1,1.625
27.57,20.66,2.914,3,15,4,1,3.61,65.7,8.5,11.24,R1,1.625
22.66,20.66,1.882,2,15,4,1,2.33,77.9,8.5,8.0,R1,1.625
20.14,20.66,0.85,1,15,4,1,1.05,90.0,8.5,2.96,R1,1.625
22.87,16.87,5.225,4,16,1,1,4.93,5.0,5.5,19.47,R3,1.714
20.53,16.87,4.557,4,16,1,1,4.3,17.1,5.5,18.73,R3,1.714
14.71,16.87,3.889,3,16,1,1,3.67,29.3,5.5,14.76,R3,1.714
18.02,16.87,3.221,3,16,1,1,3.04,41.4,5.5,11.4,R3,1.714
19.26,16.87,2.554,2,16,1,1,2.41,53.6,5.5,10.89,R3,1.714
20.47,16.87,1.886,2,16,1,1,1.78,65.7,5.5,9.72,R3,1.714
25.88,16.87,1.218,1,16,1,1,1.15,77.9,5.5,5.09,R3,1.714
17.76,16.87,0.55,1,16,1,1,0.52,90.0,5.5,3.66,R3,1.714
29.74,32.97,5.225,4,14,1,0,2.56,5.0,5.5,18.82,R3,1.231
30.36,32.97,4.557,4,14,1,0,2.24,17.1,5.5,12.87,R3,1.231
30.58,32.97,3.889,3,14,1,0,1.91,29.3,5.5,8.5,R3,1.231
32.61,32.97,3.221,3,14,1,0,1.58,41.4,5.5,9.14,R3,1.231
37.79,32.97,2.554,2,14,1,0,1.25,53.6,5.5,7.92,R3,1.231
30.43,32.97,1.886,2,14,1,0,0.92,65.7,5.5,7.42,R3,1.231
33.64,32.97,1.218,1,14,1,0,0.6,77.9,5.5,2.64,R3,1.231
37.66,32.97,0.55,1,14,1,0,0.27,90.0,5.5,0.6,R3,1.231
17.96,18.67,5.225,4,17,4,0,11.94,5.0,5.5,21.14,R3,2.032
18.1,18.67,4.557,4,17,4,0,10.42,17.1,5.5,17.59,R3,2.032
17.91,18.67,3.889,3,17,4,0,8.89,29.3,5.5,15.65,R3,2.032
9.72,18.67,3.221,3,17,4,0,7.36,41.4,5.5,13.87,R3,2.032
16.75,18.67,2.554,2,17,4,0,5.84,53.6,5.5,9.08,R3,2.032
17.86,18.67,1.886,2,17,4,0,4.31,65.7,5.5,8.02,R3,2.032
21.63,18.67,1.218,1,17,4,0,2.78,77.9,5.5,5.58,R3,2.032
16.14,18.67,0.55,1,17,4,0,1.26,90.0,5.5,3.27,R3,2.032
22.07,28.91,11.4,9,14,4,0,4.62,5.0,12.0,33.4,R2,1.222
29.27,28.91,9.943,8,14,4,0,4.03,17.1,12.0,25.51,R2,1.222
23.2,28.91,8.486,7,14,4,0,3.44,29.3,12.0,24.76,R2,1.222
25.79,28.91,7.029,6,14,4,0,2.85,41.4,12.0,22.4,R2,1.222
25.64,28.91,5.571,5,14,4,0,2.26,53.6,12.0,17.96,R2,1.222
30.71,28.91,4.114,4,14,4,0,1.67,65.7,12.0,15.21,R2,1.222
28.36,28.91,2.657,2,14,4,0,1.08,77.9,12.0,7.56,R2,1.222
29.55,28.91,1.2,1,14,4,0,0.49,90.0,12.0,4.37,R2,1.222
12.62,15.22,5.225,4,8,0,1,7.12,5.0,5.5,21.05,R3,1.873
20.47,15.22,4.557,4,8,0,1,6.21,17.1,5.5,21.59,R3,1.873
18.42,15.22,3.889,3,8,0,1,5.3,29.3,5.5,16.32,R3,1.873
16.35,15.22,3.221,3,8,0,1,4.39,41.4,5.5,11.12,R3,1.873
20.76,15.22,2.554,2,8,0,1,3.48,53.6,5.5,12.8,R3,1.873
17.77,15.22,1.886,2,8,0,1,2.57,65.7,5.5,9.15,R3,1.873
16.97,15.22,1.218,1,8,0,1,1.66,77.9,5.5,6.61,R3,1.873
17.8,15.22,0.55,1,8,0,1,0.75,90.0,5.5,0.77,R3,1.873
22.64,26.48,8.075,6,9,3,0,4.9,5.0,8.5,26.45,R1,1.42
22.28,26.48,7.043,5,9,3,0,4.28,17.1,8.5,21.25,R1,1.42
28.33,26.48,6.011,5,9,3,0,3.65,29.3,8.5,19.42,R1,1.42
26.97,26.48,4.979,4,9,3,0,3.02,41.4,8.5,14.95,R1,1.42
23.08,26.48,3.946,3,9,3,0,2.4,53.6,8.5,11.83,R1,1.42
22.35,26.48,2.914,3,9,3,0,1.77,65.7,8.5,9.95,R1,1.42
21.87,26.48,1.882,2,9,3,0,1.14,77.9,8.5,5.7,R1,1.42
25.57,26.48,0.85,1,9,3,0,0.52,90.0,8.5,5.65,R1,1.42
26.53,20.97,11.4,9,15,3,1,12.56,5.0,12.0,40.9,R2,1.525
21.77,20.97,9.943,8,15,3,1,10.96,17.1,12.0,32.85,R2,1.525
22.34,20.97,8.486,7,15,3,1,9.35,29.3,12.0,29.76,R2,1.525
31.1,20.97,7.029,6,15,3,1,7.75,41.4,12.0,22.57,R2,1.525
22.1,20.97,5.571,5,15,3,1,6.14,53.6,12.0,19.37,R2,1.525
26.53,20.97,4.114,4,15,3,1,4.53,65.7,12.0,11.69,R2,1.525
24.06,20.97,2.657,2,15,3,1,2.93,77.9,12.0,7.13,R2,1.525
21.06,20.97,1.2,1,15,3,1,1.32,90.0,12.0,5.31,R2,1.525
28.05,32.63,6.65,5,12,1,0,0.85,5.0,7.0,16.64,R5,1.088
29.07,32.63,5.8,5,12,1,0,0.74,17.1,7.0,15.22,R5,1.088
34.96,32.63,4.95,4,12,1,0,0.63,29.3,7.0,15.88,R5,1.088
36.76,32.63,4.1,3,12,1,0,0.53,41.4,7.0,10.94,R5,1.088
29.73,32.63,3.25,3,12,1,0,0.42,53.6,7.0,9.48,R5,1.088
33.93,32.63,2.4,2,12,1,0,0.31,65.7,7.0,9.15,R5,1.088
31.74,32.63,1.55,2,12,1,0,0.2,77.9,7.0,3.72,R5,1.088
28.17,32.63,0.7,1,12,1,0,0.09,90.0,7.0,1.18,R5,1.088
20.85,25.14,5.225,4,14,4,0,3.42,5.0,5.5,16.65,R3,1.359
20.56,25.14,4.557,4,14,4,0,2.98,17.1,5.5,13.32,R3,1.359
20.79,25.14,3.889,3,14,4,0,2.54,29.3,5.5,10.22,R3,1.359
19.45,25.14,3.221,3,14,4,0,2.11,41.4,5.5,8.98,R3,1.359
14.43,25.14,2.554,2,14,4,0,1.67,53.6,5.5,6.61,R3,1.359
23.11,25.14,1.886,2,14,4,0,1.23,65.7,5.5,6.9,R3,1.359
22.65,25.14,1.218,1,14,4,0,0.8,77.9,5.5,3.44,R3,1.359
19.76,25.14,0.55,1,14,4,0,0.36,90.0,5.5,2.42,R3,1.359
20.48,21.28,8.075,6,7,0,1,10.84,5.0,8.5,27.11,R1,1.757
20.56,21.28,7.043,5,7,0,1,9.46,17.1,8.5,24.39,R1,1.757
13.44,21.28,6.011,5,7,0,1,8.07,29.3,8.5,21.13,R1,1.757
19.0,21.28,4.979,4,7,0,1,6.68,41.4,8.5,15.64,R1,1.757
16.14,21.28,3.946,3,7,0,1,5.3,53.6,8.5,14.63,R1,1.757
13.87,21.28,2.914,3,7,0,1,3.91,65.7,8.5,12.09,R1,1.757
15.22,21.28,1.882,2,7,0,1,2.53,77.9,8.5,6.8,R1,1.757
18.99,21.28,0.85,1,7,0,1,1.14,90.0,8.5,2.08,R1,1.757
29.52,33.41,8.075,6,12,0,0,1.03,5.0,8.5,21.42,R1,1.064
